	Chr	Position	Bg02es	Bj	Gm06990	Gm12801	Gm12812	Gm12813	Gm12878	Helas3	Hepg2	Huvec	Imr90	K562	Mcf7	Nhek	Sknsh
SNP1	1	1695590	74.412239	74.543358	78.988228	72.056931	70.401176	72.501083	79.027283	77.903351	81.899467	82.5765	82.497368	78.743927	77.826096	70.127899	70.334389
SNP2	1	2189662	74.205154	74.208466	66.348328	64.845093	63.471252	68.596954	72.94371	76.892174	80.527412	83.160011	80.988617	75.891098	78.422356	72.746727	73.55574
SNP3	1	2393282	63.110817	71.853134	66.052383	65.964767	64.266075	70.270332	73.700974	71.611664	78.45359	75.330078	75.815018	67.552582	79.673744	73.324501	74.864441
SNP4	1	2414781	62.758198	71.61483	67.062431	66.524231	64.347176	70.754509	74.580559	72.620972	78.397896	74.502831	75.304771	67.062614	79.731834	73.690269	75.143799
SNP5	1	2516275	54.407639	66.358414	65.028122	66.404907	62.090561	69.386986	73.480103	68.92865	73.464394	64.422791	69.307892	61.421436	76.105759	72.217484	71.467636
SNP6	1	2994744	30.745686	32.72123	30.836145	39.565083	37.035896	40.163631	39.905636	38.816406	61.709087	28.358961	30.878141	41.439735	60.487663	40.03334	56.215992
SNP7	1	3151364	29.678164	40.163208	31.851095	38.420635	39.303913	39.62923	40.825214	46.634079	70.963989	34.921547	36.969757	45.226772	64.921623	43.027481	60.304653
SNP8	1	3627001	64.955048	55.629223	60.441864	61.117397	58.856316	62.039783	65.798294	69.506416	77.875267	65.618568	52.471886	75.397865	78.107178	71.233452	68.724442
SNP9	1	3847971	32.523342	29.697586	33.768223	35.575703	33.353519	34.771427	37.889072	38.972279	44.078903	28.807714	24.675074	48.127697	41.905895	38.963192	39.433979
SNP10	1	4025727	34.143135	32.797939	41.941917	44.782051	42.378159	46.053204	48.418308	44.600487	57.287281	30.997744	28.667065	56.125916	55.034203	43.976955	53.25671
SNP11	1	5345872	23.967239	18.446404	21.543056	25.844061	25.618206	27.188698	23.744717	14.746999	31.210821	16.92732	14.77199	34.608868	27.793203	31.723875	52.314873
SNP12	1	5782654	34.342598	33.199352	42.851219	46.821663	44.776665	45.949112	46.852974	39.31633	52.665649	30.104301	34.236763	49.820995	52.356155	46.70636	60.864239
SNP13	1	5978861	52.055717	50.770626	57.731525	58.186111	57.449669	60.245331	62.200001	60.29084	69.017334	48.833633	51.696201	61.593952	66.40992	56.074291	68.72892
