sample	chr	startpos	endpos	nMajor	nMinor
A17F-0095_CRUK_PC_0095_M5	1	10583	936674	3	2
A17F-0095_CRUK_PC_0095_M5	1	936687	4085496	7	3
A17F-0095_CRUK_PC_0095_M5	1	4085504	4159891	12	4
A17F-0095_CRUK_PC_0095_M5	1	4160478	13714331	6	3
A17F-0095_CRUK_PC_0095_M5	1	13719052	15835288	8	7
A17F-0095_CRUK_PC_0095_M5	1	15835357	15970698	10	10
A17F-0095_CRUK_PC_0095_M5	1	15970868	21068527	8	7
A17F-0095_CRUK_PC_0095_M5	1	21068905	22325897	6	3
A17F-0095_CRUK_PC_0095_M5	1	22325898	22454117	7	7
A17F-0095_CRUK_PC_0095_M5	1	22454261	24254587	6	3
A17F-0095_CRUK_PC_0095_M5	1	24254820	24722068	12	4
A17F-0095_CRUK_PC_0095_M5	1	24722077	27161760	6	3
A17F-0095_CRUK_PC_0095_M5	1	27161761	38459935	4	0
A17F-0095_CRUK_PC_0095_M5	1	38460352	38495157	8	0
A17F-0095_CRUK_PC_0095_M5	1	38495175	41464715	4	0
A17F-0095_CRUK_PC_0095_M5	1	41464928	41491928	15	0
A17F-0095_CRUK_PC_0095_M5	1	41492004	43091957	4	0
A17F-0095_CRUK_PC_0095_M5	1	43091974	43150737	9	0
A17F-0095_CRUK_PC_0095_M5	1	43150771	50798862	4	0
A17F-0095_CRUK_PC_0095_M5	1	50799145	50880176	8	0
A17F-0095_CRUK_PC_0095_M5	1	50880245	51461518	4	0
A17F-0095_CRUK_PC_0095_M5	1	51461606	53025517	8	0
A17F-0095_CRUK_PC_0095_M5	1	53025632	53027266	0	0
A17F-0095_CRUK_PC_0095_M5	1	53027294	53199202	9	0
A17F-0095_CRUK_PC_0095_M5	1	53199241	55788152	4	0
A17F-0095_CRUK_PC_0095_M5	1	55788160	56048932	6	3
A17F-0095_CRUK_PC_0095_M5	1	56048933	56185476	7	7
A17F-0095_CRUK_PC_0095_M5	1	56185494	56457867	6	3
A17F-0095_CRUK_PC_0095_M5	1	56457871	56501395	16	5
A17F-0095_CRUK_PC_0095_M5	1	56501433	58879923	6	3
A17F-0095_CRUK_PC_0095_M5	1	58880049	59784981	17	4
A17F-0095_CRUK_PC_0095_M5	1	59785093	60534865	6	3
A17F-0095_CRUK_PC_0095_M5	1	60534934	60634945	7	7
A17F-0095_CRUK_PC_0095_M5	1	60635057	61310660	5	3
A17F-0095_CRUK_PC_0095_M5	1	61310673	62484462	4	0
A17F-0095_CRUK_PC_0095_M5	1	62484466	63566394	6	3
A17F-0095_CRUK_PC_0095_M5	1	63566402	63905314	4	0
A17F-0095_CRUK_PC_0095_M5	1	63905348	65413752	6	3
A17F-0095_CRUK_PC_0095_M5	1	65413953	65831069	7	7
A17F-0095_CRUK_PC_0095_M5	1	65831201	66463795	6	3
A17F-0095_CRUK_PC_0095_M5	1	66463920	66484266	16	5
A17F-0095_CRUK_PC_0095_M5	1	66484558	77738148	6	3
A17F-0095_CRUK_PC_0095_M5	1	77738199	77970504	1	0
A17F-0095_CRUK_PC_0095_M5	1	77970690	78551816	4	0
A17F-0095_CRUK_PC_0095_M5	1	78551873	101595203	1	0
A17F-0095_CRUK_PC_0095_M5	1	101595230	109943632	6	3
A17F-0095_CRUK_PC_0095_M5	1	109943685	153472571	2	2
A17F-0095_CRUK_PC_0095_M5	1	153472594	153926065	6	3
A17F-0095_CRUK_PC_0095_M5	1	153926078	154103897	7	7
A17F-0095_CRUK_PC_0095_M5	1	154104001	155014968	6	3
A17F-0095_CRUK_PC_0095_M5	1	155015024	156252137	2	2
A17F-0095_CRUK_PC_0095_M5	1	156252291	156614365	5	3
A17F-0095_CRUK_PC_0095_M5	1	156614521	162258307	2	2
A17F-0095_CRUK_PC_0095_M5	1	162258312	162310014	6	3
A17F-0095_CRUK_PC_0095_M5	1	162310078	168533037	2	2
A17F-0095_CRUK_PC_0095_M5	1	168533072	168584427	6	3
A17F-0095_CRUK_PC_0095_M5	1	168584543	184191948	2	2
A17F-0095_CRUK_PC_0095_M5	1	184191982	184344022	6	3
A17F-0095_CRUK_PC_0095_M5	1	184344245	186513265	2	2
A17F-0095_CRUK_PC_0095_M5	1	186513290	186559228	5	3
A17F-0095_CRUK_PC_0095_M5	1	186559280	191499904	2	2
A17F-0095_CRUK_PC_0095_M5	1	191499936	204688437	3	2
A17F-0095_CRUK_PC_0095_M5	1	204688443	211657634	2	2
A17F-0095_CRUK_PC_0095_M5	1	211657866	211687829	6	3
A17F-0095_CRUK_PC_0095_M5	1	211687830	236083295	2	2
A17F-0095_CRUK_PC_0095_M5	1	236083437	236168109	6	3
A17F-0095_CRUK_PC_0095_M5	1	236168130	246391324	2	2
A17F-0095_CRUK_PC_0095_M5	1	246391349	246691440	6	3
A17F-0095_CRUK_PC_0095_M5	1	246691480	249231445	2	2
A17F-0095_CRUK_PC_0095_M5	2	10520	3003937	11	4
A17F-0095_CRUK_PC_0095_M5	2	3003997	25820871	6	3
A17F-0095_CRUK_PC_0095_M5	2	25820998	86094429	2	2
A17F-0095_CRUK_PC_0095_M5	2	86094587	86129869	6	3
A17F-0095_CRUK_PC_0095_M5	2	86129876	98430072	2	2
A17F-0095_CRUK_PC_0095_M5	2	98430078	98775920	1	0
A17F-0095_CRUK_PC_0095_M5	2	98776016	105489129	2	2
A17F-0095_CRUK_PC_0095_M5	2	105489481	107732217	6	3
A17F-0095_CRUK_PC_0095_M5	2	107732221	109154689	2	2
A17F-0095_CRUK_PC_0095_M5	2	109154695	110501401	6	3
A17F-0095_CRUK_PC_0095_M5	2	110501449	128288444	2	2
A17F-0095_CRUK_PC_0095_M5	2	128288531	128978836	5	3
A17F-0095_CRUK_PC_0095_M5	2	128979238	130681480	2	2
A17F-0095_CRUK_PC_0095_M5	2	130681505	139817239	5	3
A17F-0095_CRUK_PC_0095_M5	2	139817340	157114207	6	3
A17F-0095_CRUK_PC_0095_M5	2	157114219	157549623	11	4
A17F-0095_CRUK_PC_0095_M5	2	157549666	159017916	6	3
A17F-0095_CRUK_PC_0095_M5	2	159018088	159397079	8	7
A17F-0095_CRUK_PC_0095_M5	2	159397266	162913579	6	3
A17F-0095_CRUK_PC_0095_M5	2	162913699	163441621	8	7
A17F-0095_CRUK_PC_0095_M5	2	163441664	165747815	6	3
A17F-0095_CRUK_PC_0095_M5	2	165747875	165992999	11	4
A17F-0095_CRUK_PC_0095_M5	2	165993002	166818479	17	5
