	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
SNP1	1	1695590	0.68	0.607843	0.534653	0.542289	0.560878	0.548452	0.53973	0.514897	0.529147	0.528274	0.541989	0.515085	0.511127	0.540249	0.561331
SNP2	1	2189662	0.52	0.470588	0.445545	0.452736	0.471058	0.46953	0.507746	0.4985	0.509949	0.525174	0.560229	0.578554	0.593057	0.588447	0.571642
SNP3	1	2393282	0.72	0.627451	0.663366	0.626866	0.622754	0.644356	0.651174	0.631474	0.636436	0.647418	0.647327	0.636354	0.609882	0.59697	0.583632
SNP4	1	2414781	0.72	0.72549	0.663366	0.636816	0.62475	0.634366	0.649175	0.630274	0.632637	0.636618	0.648007	0.640224	0.614067	0.59699	0.581937
SNP5	1	2516275	0.32	0.411765	0.455446	0.477612	0.50499	0.505495	0.558221	0.595281	0.583542	0.59102	0.582268	0.580024	0.599207	0.591096	0.582573
SNP6	1	2994744	0.56	0.529412	0.564356	0.58209	0.60479	0.582418	0.578211	0.571286	0.583942	0.615419	0.595388	0.575024	0.565602	0.567365	0.576983
SNP7	1	3151364	0.64	0.568627	0.534653	0.532338	0.590818	0.623377	0.605697	0.584083	0.578142	0.568572	0.554929	0.568834	0.569262	0.569961	0.577934
SNP8	1	3627001	0.72	0.784314	0.712871	0.711443	0.626747	0.614386	0.612194	0.609478	0.622238	0.618019	0.620368	0.584334	0.564902	0.568527	0.557416
SNP9	1	3847971	NA	NA	NA	NA	NA	NA	NA	NA	0.429939	0.5037	0.539196	0.524145	0.506341	0.528498	0.531941
SNP10	1	4025727	0.52	0.490196	0.465347	0.452736	0.506986	0.516484	0.524738	0.490502	0.477252	0.491675	0.50809	0.506221	0.500379	0.498804	0.505265
SNP11	1	5345872	0.56	0.588235	0.60396	0.537313	0.516966	0.543457	0.515742	0.512697	0.494851	0.499475	0.48455	0.468455	0.456123	0.456581	0.458858
SNP12	1	5782654	0.52	0.588235	0.524752	0.497512	0.439122	0.473526	0.46077	0.488302	0.517348	0.511024	0.51039	0.503845	0.496738	0.491227	0.501688
SNP13	1	5978861	0.28	0.333333	0.316832	0.323383	0.371257	0.344655	0.409295	0.444511	0.466153	0.479976	0.466551	0.494415	0.520912	0.525483	0.515882
SNP14	1	6189080	0.52	0.588235	0.653465	0.671642	0.648703	0.621379	0.613693	0.608678	0.593241	0.562522	0.553729	0.567944	0.552102	0.539595	0.534719
SNP15	1	6199294	0.32	0.294118	0.336634	0.437811	0.483034	0.48951	0.501749	0.511698	0.547145	0.563822	0.553629	0.565104	0.551617	0.537907	0.535633
SNP16	1	6254684	0.52	0.529412	0.455446	0.452736	0.483034	0.478521	0.483758	0.474105	0.480552	0.478526	0.539549	0.547015	0.561187	0.546561	0.533609
SNP17	1	6334984	0.68	0.647059	0.643564	0.641791	0.62475	0.617383	0.598701	0.60188	0.59804	0.584971	0.574389	0.558964	0.546977	0.557063	0.530144
SNP18	1	6568485	0.56	0.647059	0.673267	0.666667	0.646707	0.616384	0.635182	0.622476	0.614139	0.578221	0.561729	0.547165	0.556072	0.528461	0.515297
SNP19	1	6669135	0.56	0.627451	0.584158	0.447761	0.479042	0.470529	0.472764	0.458708	0.490351	0.542323	0.549329	0.532345	0.503387	0.502553	0.507969
SNP20	1	6954380	0.32	0.27451	0.306931	0.353234	0.371257	0.361638	0.415292	0.430114	0.429757	0.411229	0.443511	0.446616	0.448208	0.461471	0.482694
SNP21	1	7148307	0.4	0.509804	0.554455	0.547264	0.55489	0.529471	0.516742	0.502899	0.487951	0.477026	0.47661	0.485505	0.471038	0.459899	0.477345
SNP22	1	7442064	0.44	0.470588	0.49505	0.482587	0.45509	0.442557	0.418291	0.462507	0.480952	0.508225	0.47879	0.490215	0.493563	0.488107	0.480685
SNP23	1	7775929	0.52	0.431373	0.415842	0.41791	0.407186	0.456543	0.435782	0.431114	0.433657	0.435778	0.470551	0.478775	0.482393	0.484015	0.473991
SNP24	1	7898621	0.68	0.509804	0.544554	0.547264	0.461078	0.386613	0.384808	0.40192	0.40246	0.39433	0.413352	0.424996	0.428748	0.461003	0.477852
SNP25	1	8098465	0.32	0.313725	0.277228	0.303483	0.333333	0.400599	0.384308	0.413117	0.408159	0.40968	0.427731	0.434706	0.442743	0.448619	0.463989
SNP26	1	8351493	0.52	0.411765	0.435644	0.502488	0.516966	0.427572	0.429785	0.434313	0.442356	0.445478	0.460331	0.477795	0.490313	0.457433	0.438884
SNP27	1	8555936	0.2	0.352941	0.376238	0.40796	0.411178	0.442557	0.452774	0.415517	0.427157	0.440028	0.423392	0.417966	0.416743	0.434179	0.445551
SNP28	1	8883466	0.12	0.215686	0.356436	0.412935	0.399202	0.440559	0.432784	0.440112	0.444956	0.453677	0.450771	0.455245	0.448788	0.446043	0.460748
SNP29	1	9083988	0.48	0.568627	0.554455	0.427861	0.447106	0.440559	0.474763	0.521696	0.511149	0.513874	0.51133	0.491925	0.484953	0.485467	0.471836
SNP30	1	9177154	0.64	0.529412	0.514851	0.452736	0.46507	0.490509	0.417291	0.453709	0.50125	0.480076	0.49017	0.492035	0.494453	0.500863	0.481704
SNP31	1	9352270	0.36	0.411765	0.50495	0.527363	0.588822	0.595405	0.634683	0.582084	0.526447	0.509975	0.52301	0.531565	0.524882	0.506313	0.498612
SNP32	1	9693977	0.56	0.509804	0.49505	0.462687	0.453094	0.481518	0.482259	0.492701	0.520948	0.526374	0.527249	0.529115	0.510422	0.501425	0.495572
SNP33	1	9730524	0.32	0.27451	0.366337	0.358209	0.38523	0.432567	0.461269	0.463307	0.475552	0.487076	0.50339	0.507635	0.514862	0.499287	0.493374
SNP34	1	10047248	0.44	0.431373	0.465347	0.522388	0.512974	0.509491	0.468266	0.468706	0.464654	0.476126	0.473951	0.468915	0.465523	0.465311	0.470157
SNP35	1	10296859	0.2	0.215686	0.227723	0.298507	0.339321	0.347652	0.384808	0.437113	0.417158	0.420629	0.426551	0.429856	0.428473	0.446485	0.470002
SNP36	1	10438341	0.6	0.568627	0.544554	0.542289	0.483034	0.494505	0.477761	0.474305	0.462554	0.468227	0.459651	0.455405	0.448783	0.444629	0.476268
SNP37	1	10451993	0.56	0.490196	0.514851	0.412935	0.451098	0.485514	0.48026	0.465907	0.461654	0.484926	0.469671	0.462915	0.451988	0.449569	0.475872
SNP38	1	10530561	0.72	0.705882	0.653465	0.522388	0.50499	0.492507	0.473763	0.483103	0.487551	0.488076	0.474891	0.474415	0.462513	0.470647	0.480531
SNP39	1	10709168	0.68	0.666667	0.60396	0.616915	0.652695	0.627373	0.626187	0.608478	0.60304	0.615269	0.600608	0.567544	0.527352	0.508363	0.485108
SNP40	1	11101450	0.48	0.490196	0.475248	0.482587	0.473054	0.47952	0.472764	0.511498	0.530347	0.518524	0.49671	0.483415	0.485968	0.485529	0.502563
SNP41	1	11182073	0.44	0.509804	0.544554	0.572139	0.489022	0.471528	0.484258	0.459308	0.463754	0.463627	0.459391	0.451135	0.461868	0.483141	0.507688
SNP42	1	11365560	0.36	0.431373	0.445545	0.457711	0.55489	0.564436	0.553223	0.525895	0.518248	0.515724	0.50941	0.500775	0.484743	0.485973	0.502358
SNP43	1	11577244	0.64	0.588235	0.554455	0.58209	0.590818	0.569431	0.531234	0.557888	0.536046	0.514624	0.52471	0.517375	0.513007	0.515645	0.501159
SNP44	1	11739345	0.6	0.568627	0.49505	0.457711	0.471058	0.483516	0.484258	0.565087	0.553745	0.538473	0.545809	0.538045	0.527177	0.519793	0.509013
SNP45	1	11805717	0.52	0.529412	0.594059	0.626866	0.566866	0.525475	0.507746	0.529094	0.548745	0.543173	0.525849	0.534405	0.528377	0.518761	0.51412
SNP46	1	11862164	0.4	0.45098	0.425743	0.41791	0.44511	0.441558	0.494253	0.528894	0.527147	0.505875	0.50777	0.513125	0.517437	0.519319	0.510518
SNP47	1	11871170	0.48	0.588235	0.554455	0.542289	0.47505	0.454545	0.454773	0.442711	0.444856	0.464727	0.49753	0.514575	0.514172	0.520021	0.50969
SNP48	1	11947362	0.76	0.745098	0.673267	0.646766	0.580838	0.576424	0.552724	0.533693	0.520348	0.531273	0.51045	0.512965	0.513122	0.519379	0.501516
SNP49	1	12050858	0.6	0.568627	0.524752	0.542289	0.532934	0.514486	0.53973	0.4995	0.487651	0.492325	0.51333	0.522025	0.518217	0.516725	0.492986
SNP50	1	12177292	0.72	0.490196	0.514851	0.557214	0.502994	0.509491	0.493753	0.495101	0.480852	0.507175	0.49883	0.507885	0.522427	0.490949	0.49173
SNP51	1	12202659	0.68	0.666667	0.653465	0.661692	0.638723	0.623377	0.605697	0.591282	0.566443	0.530973	0.51937	0.520065	0.514212	0.484913	0.491372
SNP52	1	12666104	0.48	0.54902	0.485149	0.467662	0.441118	0.406593	0.403298	0.44971	0.485651	0.496975	0.51647	0.504725	0.486173	0.454827	0.460274
SNP53	1	13541462	0.64	0.568627	0.574257	0.577114	0.538922	0.508492	0.485757	0.4977	0.505249	0.490925	0.480357	0.471713	0.46361	0.464813	0.461167
SNP54	1	13745028	0.44	0.45098	0.475248	0.502488	0.48503	0.478521	0.487256	0.507898	0.487651	0.470176	0.470971	0.473795	0.477333	0.466592	0.456514
